"","note","id","sample.size","sex","category","subcategory","unit","group_name","build","author","year","population","trait","pmid","ontology","rawfile","filename","outfile","nsnp","delimiter","header","mr","chr_col","snp_col","pos_col","ea_col","oa_col","ncontrol_col","beta_col","se_col","pval_col"
"12","name=Apolipoprotein E; chr=19; start=44905754; end=44909393; entrez=348; uniprot=P02649","prot-c-2418_55_9",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","Apo E",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2418-55_9_one.out.merged.h.tsv.gz","prot-c-2418_55_9.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2418_55_9.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"13","name=Brain-derived neurotrophic factor; chr=11; start=27654893; end=27722058; entrez=627; uniprot=P23560","prot-c-2421_7_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","BDNF",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2421-7_3_one.out.merged.h.tsv.gz","prot-c-2421_7_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2421_7_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"14","name=Fibroblast growth factor receptor 1; chr=8; start=38411138; end=38468834; entrez=2260; uniprot=P11362","prot-c-2424_69_4",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","bFGF-R",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2424-69_4_one.out.merged.h.tsv.gz","prot-c-2424_69_4.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2424_69_4.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"15","name=Complement component C8; chr=1|9; start=56854806|136945246; end=56966140|136946974; entrez=731|732|733; uniprot=P07357|P07358|P07360","prot-c-2429_27_4",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","C8",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2429-27_4_one.out.merged.h.tsv.gz","prot-c-2429_27_4.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2429_27_4.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"16","name=Cathepsin G; chr=14; start=24573522; end=24576260; entrez=1511; uniprot=P08311","prot-c-2431_17_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","Cathepsin G",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2431-17_3_one.out.merged.h.tsv.gz","prot-c-2431_17_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2431_17_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"17","name=C-X-C motif chemokine 16; chr=17; start=4733526; end=4739922; entrez=58191; uniprot=Q9H2A7","prot-c-2436_49_4",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","CXCL16, soluble",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2436-49_4_one.out.merged.h.tsv.gz","prot-c-2436_49_4.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2436_49_4.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"18","name=Fibroblast growth factor 10; chr=5; start=44303544; end=44389706; entrez=2255; uniprot=O15520","prot-c-2441_2_4",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","FGF-10",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2441-2_4_one.out.merged.h.tsv.gz","prot-c-2441_2_4.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2441_2_4.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"19","name=Fibroblast growth factor 8 isoform B; chr=10; start=101770130; end=101780369; entrez=2253; uniprot=P55075","prot-c-2443_10_4",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","FGF-8B",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2443-10_4_one.out.merged.h.tsv.gz","prot-c-2443_10_4.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2443_10_4.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"20","name=Group IIE secretory phospholipase A2; chr=1; start=19920009; end=19923617; entrez=30814; uniprot=Q9NZK7","prot-c-2447_7_4",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","GIIE",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2447-7_4_one.out.merged.h.tsv.gz","prot-c-2447_7_4.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2447_7_4.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"21","name=Calcium-dependent phospholipase A2; chr=1; start=20028179; end=20091190; entrez=5322; uniprot=P39877","prot-c-2449_1_4",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","GV",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2449-1_4_one.out.merged.h.tsv.gz","prot-c-2449_1_4.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2449_1_4.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"22","name=Interleukin-12; chr=3|5; start=159988750|159314783; end=159996019|159330887; entrez=3592|3593; uniprot=P29459|P29460","prot-c-2455_17_4",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","IL-12",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2455-17_4_one.out.merged.h.tsv.gz","prot-c-2455_17_4.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2455_17_4.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"23","name=C-C motif chemokine 20; chr=2; start=227813842; end=227817564; entrez=6364; uniprot=P78556","prot-c-2468_62_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","MIP-3a",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2468-62_3_one.out.merged.h.tsv.gz","prot-c-2468_62_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2468_62_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"24","name=Serum amyloid P-component; chr=1; start=159587825; end=159588865; entrez=325; uniprot=P02743","prot-c-2474_54_5",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","SAP",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2474-54_5_one.out.merged.h.tsv.gz","prot-c-2474_54_5.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2474_54_5.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"25","name=Mast/stem cell growth factor receptor Kit; chr=4; start=54657918; end=54740715; entrez=3815; uniprot=P10721","prot-c-2475_1_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","SCF sR",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2475-1_3_one.out.merged.h.tsv.gz","prot-c-2475_1_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2475_1_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"26","name=Metalloproteinase inhibitor 3; chr=22; start=32801701; end=32863043; entrez=7078; uniprot=P35625","prot-c-2480_58_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","TIMP-3",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2480-58_3_one.out.merged.h.tsv.gz","prot-c-2480_58_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2480_58_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"27","name=Tumor necrosis factor ligand superfamily member 12; chr=17; start=7548891; end=7557890; entrez=8742; uniprot=O43508","prot-c-2484_49_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","TWEAK",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2484-49_3_one.out.merged.h.tsv.gz","prot-c-2484_49_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2484_49_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"28","name=Angiopoietin-4; chr=20; start=869899; end=916317; entrez=51378; uniprot=Q9Y264","prot-c-2500_2_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","Angiopoietin-4",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2500-2_3_one.out.merged.h.tsv.gz","prot-c-2500_2_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2500_2_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"29","name=Cadherin-1; chr=16; start=68737225; end=68835548; entrez=999; uniprot=P12830","prot-c-2501_51_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","Cadherin E",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2501-51_3_one.out.merged.h.tsv.gz","prot-c-2501_51_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2501_51_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"30","name=GDNF family receptor alpha-3; chr=5; start=138252379; end=138274671; entrez=2676; uniprot=O60609","prot-c-2505_49_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","GFRa-3",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2505-49_3_one.out.merged.h.tsv.gz","prot-c-2505_49_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2505_49_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"31","name=Ephrin-B3; chr=17; start=7705202; end=7711378; entrez=1949; uniprot=Q15768","prot-c-2514_65_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","Ephrin-B3",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2514-65_3_one.out.merged.h.tsv.gz","prot-c-2514_65_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2514_65_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"32","name=GDNF family receptor alpha-2; chr=8; start=21690403; end=21812357; entrez=2675; uniprot=O00451","prot-c-2515_14_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","GFRa-2",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2515-14_3_one.out.merged.h.tsv.gz","prot-c-2515_14_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2515_14_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"33","name=C-C motif chemokine 21; chr=9; start=34709005; end=34710124; entrez=6366; uniprot=O00585","prot-c-2516_57_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","6Ckine",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2516-57_3_one.out.merged.h.tsv.gz","prot-c-2516_57_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2516_57_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"34","name=C-C motif chemokine 5; chr=17; start=35871491; end=35880793; entrez=6352; uniprot=P13501","prot-c-2523_31_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","RANTES",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2523-31_3_one.out.merged.h.tsv.gz","prot-c-2523_31_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2523_31_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"35","name=High mobility group protein B1; chr=13; start=30456704; end=30617597; entrez=3146; uniprot=P09429","prot-c-2524_56_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","HMG-1",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2524-56_3_one.out.merged.h.tsv.gz","prot-c-2524_56_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2524_56_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"36","name=Tumor necrosis factor receptor superfamily member 11B; chr=8; start=118923557; end=118952200; entrez=4982; uniprot=O00300","prot-c-2526_53_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","OPG",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2526-53_3_one.out.merged.h.tsv.gz","prot-c-2526_53_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2526_53_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"37","name=Beta-endorphin; chr=2; start=25160853; end=25168903; entrez=5443; uniprot=P01189","prot-c-2558_51_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","b-Endorphin",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2558-51_3_one.out.merged.h.tsv.gz","prot-c-2558_51_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2558_51_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"38","name=Complement factor I; chr=4; start=109740694; end=109802179; entrez=3426; uniprot=P05156","prot-c-2567_5_6",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","Factor I",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2567-5_6_one.out.merged.h.tsv.gz","prot-c-2567_5_6.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2567_5_6.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"39","name=Insulin-like growth factor-binding protein 2; chr=2; start=216632828; end=216664436; entrez=3485; uniprot=P18065","prot-c-2570_72_5",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","IGFBP-2",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2570-72_5_one.out.merged.h.tsv.gz","prot-c-2570_72_5.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2570_72_5.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"40","name=Insulin-like growth factor-binding protein 3; chr=7; start=45912245; end=45921874; entrez=3486; uniprot=P17936","prot-c-2571_12_3",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","IGFBP-3",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2571-12_3_one.out.merged.h.tsv.gz","prot-c-2571_12_3.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2571_12_3.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"41","name=Leptin; chr=7; start=128241284; end=128257628; entrez=3952; uniprot=P41159","prot-c-2575_5_5",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","Leptin",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2575-5_5_one.out.merged.h.tsv.gz","prot-c-2575_5_5.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2575_5_5.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"42","name=C-C motif chemokine 2; chr=17; start=34255218; end=34257203; entrez=6347; uniprot=P13500","prot-c-2578_67_2",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","MCP-1",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2578-67_2_one.out.merged.h.tsv.gz","prot-c-2578_67_2.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2578_67_2.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"43","name=Matrix metalloproteinase-9; chr=20; start=46008908; end=46016561; entrez=4318; uniprot=P14780","prot-c-2579_17_5",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","MMP-9",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2579-17_5_one.out.merged.h.tsv.gz","prot-c-2579_17_5.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2579_17_5.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"44","name=Myeloperoxidase; chr=17; start=58269856; end=58280935; entrez=4353; uniprot=P05164","prot-c-2580_83_2",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","Myeloperoxidase",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2580-83_2_one.out.merged.h.tsv.gz","prot-c-2580_83_2.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2580_83_2.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"45","name=Prolactin; chr=6; start=22287244; end=22297501; entrez=5617; uniprot=P01236","prot-c-2585_2_5",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","PRL",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2585-2_5_one.out.merged.h.tsv.gz","prot-c-2585_2_5.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2585_2_5.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
